"","Full_Zone_Code","State_Name","Zone_Name","Center_Lon","Center_Lat"
"173","2501","Nebraska","Panhandle",-103.0479472,41.99666918
"174","2502","Nebraska","North Central",-100.2907237,42.2776482
"175","2503","Nebraska","Northeast",-97.37496433,42.20607724
"176","2505","Nebraska","Central",-99.2617796,41.2131237
"177","2506","Nebraska","East Central",-97.07703906,41.17620607
"178","2507","Nebraska","Southwest",-101.1072276,40.69092
"179","2508","Nebraska","South Central",-99.19342614,40.33195822
"180","2509","Nebraska","Southeast",-96.91999811,40.33887789
"181","2601","Nevada","Northwestern",-118.6701603,40.52438592
"182","2602","Nevada","Northeastern",-115.6165564,40.40372364
"183","2603","Nevada","South Central",-116.3683018,38.00516246
"184","2604","Nevada","Extreme Southern",-115.1502335,36.37374148
"185","2701","New Hampshire","North",-71.52926572,44.4063558
"186","2702","New Hampshire","South",-71.60284393,43.32268895
"187","2801","New Jersey","Northern",-74.60573546,40.84182364
"188","2802","New Jersey","Southern",-74.71450425,39.82188629
"189","2803","New Jersey","Coastal",-74.40406353,39.55717366
"190","2901","New Mexico","Northwestern Plateau",-108.1925276,36.05809342
"191","2902","New Mexico","Northern Mountains",-105.6837562,36.18235193
"192","2903","New Mexico","Northeastern Plains",-103.6579243,35.36479303
"193","2904","New Mexico","Southwestern Mountains",-108.0203698,34.09856646
"194","2905","New Mexico","Central Valley",-106.717727,33.93815925
"195","2906","New Mexico","Central Highlands",-105.7444684,34.15546254
"196","2907","New Mexico","Southeastern Plains",-104.2956744,33.41995599
"197","2908","New Mexico","Southern Desert",-107.3461078,32.35691541
"198","3001","New York","Western Plateau",-77.89465803,42.24660127
"199","3002","New York","Eastern Plateau",-75.11588518,42.29867376
"200","3003","New York","Northern Plateau",-74.68910612,43.86006104
"201","3004","New York","Coastal",-73.06439753,40.84309759
"202","3005","New York","Hudson Valley",-73.77800791,42.21175483
"203","3006","New York","Mohawk Valley",-74.92383978,43.10102658
"204","3007","New York","Champlain Valley",-73.62873038,44.26677387
"205","3008","New York","St. Lawrence Valley",-74.87121035,44.65202849
"206","3009","New York","Great Lakes",-77.58447463,43.16927022
"207","3010","New York","Central Lakes",-77.04151034,42.739516
"208","3101","North Carolina","Southern Mountains",-82.78507949,35.47655044
"209","3102","North Carolina","Northern Mountains",-81.23714561,36.24135974
"210","3103","North Carolina","Northern Piedmont",-79.21975856,36.23696478
"211","3104","North Carolina","Central Piedmont",-79.96506298,35.74182216
"212","3105","North Carolina","Southern Piedmont",-80.40619245,35.22262811
"213","3106","North Carolina","Southern Coastal Plain",-78.44465657,34.69325103
"214","3107","North Carolina","Central Coastal Plain",-76.60973256,34.99902276
"215","3108","North Carolina","Northern Coastal Plain",-75.98707126,36.03712332
"216","3201","North Dakota","Northwest",-102.5442813,48.4426034
"217","3202","North Dakota","North Central",-100.2195576,48.41032718
"218","3203","North Dakota","Northeast",-98.1729129,48.38970278
"219","3204","North Dakota","West Central",-102.3345732,47.51651393
"220","3205","North Dakota","Central",-99.42399381,47.27763172
"221","3206","North Dakota","East Central",-97.64803396,47.15028262
"222","3207","North Dakota","Southwest",-103.1154718,46.56072728
"223","3208","North Dakota","South Central",-100.9481306,46.52827527
"224","3209","North Dakota","Southeast",-98.26459016,46.28021587
"225","3301","Ohio","Northwest",-84.12011618,41.22748165
"226","3302","Ohio","North Central",-82.86157022,41.17144231
"227","3303","Ohio","Northeast",-81.21105973,41.38407263
"228","3304","Ohio","West Central",-84.11905496,40.30443842
"229","3305","Ohio","Central",-82.99722682,40.04734761
"230","3306","Ohio","Central Hills",-82.15488474,40.61062597
"231","3307","Ohio","Northeast Hills",-81.07286923,40.62389044
"232","3308","Ohio","Southwest",-84.1409872,39.37266188
"233","3309","Ohio","South Central",-82.81121317,38.96202387
"234","3310","Ohio","Southeast",-81.74779769,39.68974164
"235","3401","Oklahoma","Panhandle",-100.9905192,36.67231176
"236","3402","Oklahoma","North Central",-98.20197175,36.58157183
"237","3403","Oklahoma","Northeast",-95.74266382,36.49726263
"238","3404","Oklahoma","West Central",-99.14645364,35.63030896
"239","3405","Oklahoma","Central",-97.22857811,35.53330507
"240","3406","Oklahoma","East Central",-95.45016575,35.40481482
"241","3407","Oklahoma","Southwest",-98.89707489,34.74346596
"242","3408","Oklahoma","South Central",-96.94023854,34.33708924
"243","3409","Oklahoma","Southeast",-95.03841336,34.45349991
"244","3501","Oregon","Coastal Area",-123.9009501,44.11622441
"245","3502","Oregon","Willamette Valley",-122.9291628,44.75551284
"246","3503","Oregon","Southwestern Valleys",-123.0603158,42.8424854
"247","3504","Oregon","Northern Cascades",-122.0798387,44.50247262
"248","3505","Oregon","High Plateau",-121.421396,42.9978431
"249","3506","Oregon","North Central",-120.1947756,45.40098785
"250","3507","Oregon","South Central",-120.0336066,43.3552678
"251","3508","Oregon","Northeast",-118.0054403,45.05930839
"252","3509","Oregon","Southeast",-117.6215409,43.19190698
"253","3601","Pennsylvania","Pocono Mountains",-75.4932464,41.32637463
"254","3602","Pennsylvania","East Central Mountains",-75.8151972,40.74217003
"255","3603","Pennsylvania","Southeastern Piedmont",-75.83333054,40.19051317
"256","3604","Pennsylvania","Lower Susquehanna",-77.2010701,39.96175217
"257","3605","Pennsylvania","Middle Susquehanna",-77.02852754,40.88771168
"258","3606","Pennsylvania","Upper Susquehanna",-76.52660664,41.72489039
"259","3607","Pennsylvania","Central Mountains",-78.14442216,41.14813274
"260","3608","Pennsylvania","South Central Mountains",-78.33829104,40.26509884
"261","3609","Pennsylvania","Southwest Plateau",-79.70028277,40.3837425
"262","3610","Pennsylvania","Northwest Plateau",-79.29721669,41.60408681
"263","3701","Rhode Island","Rhode Island",-71.53218307,41.67320505
"264","3801","South Carolina","Mountain",-82.74348446,34.98135812
"265","3802","South Carolina","Northwest",-82.21508068,34.7232179
"266","3803","South Carolina","North Central",-80.94972403,34.60742604
"267","3804","South Carolina","Northeast",-79.56006099,34.03972318
"268","3805","South Carolina","West Central",-81.90642649,33.93456697
"269","3806","South Carolina","Central",-80.70079991,33.78541292
"270","3807","South Carolina","Southern",-80.61612285,32.90043413
"271","3901","South Dakota","Northwest",-102.7586706,45.25406111
"272","3902","South Dakota","North Central",-100.2809587,45.4713873
"273","3903","South Dakota","Northeast",-97.84340232,45.45994232
"274","3904","South Dakota","Black Hills",-103.6644928,43.92326189
"275","3905","South Dakota","Southwest",-102.4854087,43.73840917
"276","3906","South Dakota","Central",-100.2295788,44.34274441
"277","3907","South Dakota","East Central",-97.77072862,44.50062706
"278","3908","South Dakota","South Central",-100.3820108,43.3557768
"279","3909","South Dakota","Southeast",-97.72438524,43.4178936
"280","4001","Tennessee","Eastern",-83.71540942,35.93301293
"281","4002","Tennessee","Cumberland Plateau",-85.34086542,35.82755506
"282","4003","Tennessee","Middle",-87.03289684,35.86655735
"283","4004","Tennessee","Western",-89.05458167,35.71374218
"284","4101","Texas","High Plains",-101.9041896,34.44864792
"285","4102","Texas","Low Rolling Plains",-100.2310169,33.43713056
"286","4103","Texas","North Central",-97.6101251,32.49087573
"287","4104","Texas","East Texas",-95.07019494,31.7259452
"288","4105","Texas","Trans Pecos",-103.763181,30.82284304
"289","4106","Texas","Edwards Plateau",-100.1523325,30.59516274
"290","4107","Texas","South Central",-97.53519106,29.26046639
"291","4108","Texas","Upper Coast",-95.58318117,29.38008616
"292","4109","Texas","South",-98.90291355,27.89992113
"293","4110","Texas","Lower Valley",-97.82670867,26.33189168
"294","4201","Utah","Western",-113.3220255,39.9381941
"295","4202","Utah","Dixie",-113.5297027,37.17601285
"296","4203","Utah","North Central",-112.1527099,40.72694463
"297","4204","Utah","South Central",-112.0904497,38.24855436
"298","4205","Utah","Northern Mountains",-110.9567419,40.75321017
"299","4206","Utah","Uinta Basin",-109.7752756,40.00570086
"300","4207","Utah","Southeast",-110.1798144,38.21501328
"301","4301","Vermont","Northeastern",-72.31541501,44.46115351
"302","4302","Vermont","Western",-73.09611484,43.99842335
"303","4303","Vermont","Southeastern",-72.62556366,43.27761294
"304","4401","Virginia","Tidewater",-76.28376001,37.44717885
"305","4402","Virginia","Eastern Piedmont",-77.93845688,37.42801037
"306","4403","Virginia","Western Piedmont",-79.25571055,37.17224015
"307","4404","Virginia","Northern",-77.99121312,38.75755763
"308","4405","Virginia","Central Mountain",-79.50050857,37.99095841
"309","4406","Virginia","Southwestern Mountain",-81.58854052,36.94606899
"310","4501","Washington","West Olympic Coast",-123.9077436,47.40364084
"311","4502","Washington","North East Olympic San Juan",-122.8226375,48.30759189
"312","4503","Washington","Puget Sound Lowlands",-122.7251871,47.83475979
"313","4504","Washington","East Olympic Cascade Foothills",-122.4943976,47.17169093
"314","4505","Washington","Cascade Mountains West",-121.5367932,47.40497664
"315","4506","Washington","East Slope Cascades",-120.7141956,47.48793258
"316","4507","Washington","Okanogan Big Bend",-119.167644,47.86894687
"317","4508","Washington","Central Basin",-119.491071,46.61502506
"318","4509","Washington","Northeastern",-118.002715,48.35551786
"319","4510","Washington","Plouse Blue Mountains",-117.5633564,46.68338011
"320","4601","West Virginia","Northwestern",-81.00846663,39.55966375
"321","4602","West Virginia","North Central",-80.51238769,39.1422993
"322","4603","West Virginia","Southwestern",-81.800065,38.31003225
"323","4604","West Virginia","Central",-80.22874282,38.51127077
"324","4605","West Virginia","Southern",-81.04692017,37.56304604
"325","4606","West Virginia","Northeastern",-78.68357109,39.17535067
"326","4701","Wisconsin","Northwest",-91.63210863,45.85030316
"327","4702","Wisconsin","North Central",-90.08534008,45.51440811
"328","4703","Wisconsin","Northeast",-88.5238789,45.28319889
"329","4704","Wisconsin","West Central",-91.4988597,44.48390765
"330","4705","Wisconsin","Central",-89.56052742,44.17762939
"331","4706","Wisconsin","East Central",-87.50213736,44.78812477
"332","4707","Wisconsin","Southwest",-90.45434472,43.15652585
"333","4708","Wisconsin","South Central",-89.16395351,43.08729421
"334","4709","Wisconsin","Southeast",-88.21870468,42.9549242
"335","4801","Wyoming","Yellowstone Drainage",-110.1284921,44.6550283
"336","4802","Wyoming","Snake Drainage",-110.6322939,43.62774074
"337","4803","Wyoming","Green and Bear Drainage",-109.5477983,41.87781915
"338","4804","Wyoming","Big Horn",-108.4293584,44.21423717
"339","4805","Wyoming","Powder Little Mo & Tongue Drainages",-106.3560824,44.24000108
"340","4806","Wyoming","Belle Fourche Drainage",-104.8959231,44.3081838
"341","4807","Wyoming","Cheyenne Niobrara Drainage",-104.8725975,43.41189306
"342","4808","Wyoming","Lower Platte",-105.1611047,42.13836101
"343","4809","Wyoming","Wind River",-108.5742241,43.167142
"344","4810","Wyoming","Upper Platte",-106.8847217,41.95156209
